sLap,curv,theta,xi,yi
133.374175347006,0.0353699720259053,-0.7833364859962441,119.25950536829177,-49.19347669521215
134.058355426387,0.0352606132814167,-0.7677641177226109,119.57724741393473,-49.50020564915997
134.257448031423,0.0351604801945359,-0.760763926126364,119.72145208196919,-49.63747501608898
134.456540636459,0.0350365668787455,-0.7452905048864915,120.04600661858224,-49.93698630389495
135.14072071584,0.0344740896916441,-0.7217040194646578,120.55960762792333,-50.38900000305271
135.824900795222,0.0338988545606712,-0.7067330533314078,120.89546647125788,-50.67577778481714
136.023993400258,0.0337664359489664,-0.7000104056355636,121.04773956014097,-50.804038346884454
136.223086005293,0.0336608591053298,-0.6851445469446902,121.38971076379902,-51.083499175316575
136.907266084675,0.0336168939071251,-0.662144537802737,121.92930687353378,-51.5041396624101
137.591446164057,0.0341644805449143,-0.6470562615814277,122.281671665727,-51.77037585826244
137.790538769092,0.0344532715919404,-0.6401968699881926,122.44133958926803,-51.88930449052533
